Country Name,percentage of services,GDP
Aruba,,
Afghanistan,52.65543115,19362969582
Angola,46.76262434,1.05751E+11
Albania,47.96583157,15102500898
Andorra,79.28558607,3236543909
Arab World,51.63169024,2.77431E+12
United Arab Emirates,56.24589588,4.14179E+11
Argentina,56.96779489,5.19872E+11
Armenia,50.76525836,12433089919
American Samoa,,636000000
Antigua and Barbuda,67.39000994,1610574074
Australia,67.03344868,1.4339E+12
Austria,62.53286663,4.55286E+11
Azerbaijan,38.12246047,46939529412
Burundi,49.33370144,3036931818
Belgium,69.2464394,5.42761E+11
Benin,46.15691,10354274635
Burkina Faso,42.11349755,14124775069
Bangladesh,53.47621073,2.74025E+11
Bulgaria,57.99213202,65132951116
Bahrain,57.44635655,37746196809
"Bahamas, The",73.47494733,12424500000
Bosnia and Herzegovina,55.78104219,20161865419
Belarus,47.63371859,59662495092
Belize,62.22417859,1871203164
Bermuda,,
Bolivia,48.7378519,40287647757
Brazil,63.08182848,1.86863E+12
Barbados,,5145000000
Brunei Darussalam,40.85102253,13567351175
Bhutan,38.0556827,2446674101
Botswana,59.1164281,18616018903
Central African Republic,41.87957691,2219894702
Canada,,1.71334E+12
Central Europe and the Baltics,56.65485919,1.63291E+12
Switzerland,71.0260148,7.0514E+11
Channel Islands,,
Chile,57.88792588,2.98231E+11
China,51.89276498,1.36082E+13
Cote d'Ivoire,44.87285538,43007047822
Cameroon,52.14502516,38675205293
"Congo, Dem. Rep.",33.75029293,47227535291
"Congo, Rep.",40.07935207,11263682694
Colombia,57.5949202,3.31047E+11
Comoros,54.1994429,1177955049
Cabo Verde,61.23686691,1976814277
Costa Rica,68.06539651,60130106116
Caribbean small states,60.24400107,73523538155
Cuba,70.81702822,1.00023E+11
Curacao,71.68800416,3127908038
Cayman Islands,87.02107097,
Cyprus,73.35254986,24961988663
Czech Republic,54.46028514,2.45226E+11
Germany,61.78302553,3.94762E+12
Djibouti,79.66943763,2955912228
Dominica,60.58665109,550892592.6
Denmark,64.98133043,3.55675E+11
Dominican Republic,59.42600258,85555390387
Algeria,45.65671465,1.73758E+11
East Asia & Pacific (excluding high income),51.38216757,1.62845E+13
Early-demographic dividend,53.1273522,1.16389E+13
East Asia & Pacific,59.70366615,2.59424E+13
Europe & Central Asia (excluding high income),54.47093963,3.4107E+12
Europe & Central Asia,64.57200679,2.30684E+13
Ecuador,51.23112746,1.08398E+11
"Egypt, Arab Rep.",53.02054179,2.50895E+11
Euro area,66.04570549,1.36466E+13
Eritrea,,
Spain,67.68774346,1.41904E+12
Estonia,60.34168145,30732144529
Ethiopia,36.63829202,84355604753
European Union,66.0827067,1.87681E+13
Fragile and conflict affected situations,44.51803826,8.41433E+11
Finland,59.80955334,2.76743E+11
Fiji,54.48636587,5536759659
France,70.30286315,2.77754E+12
Faroe Islands,52.6411161,
"Micronesia, Fed. Sts.",60.70952051,401932279
Gabon,42.64969126,16853589311
United Kingdom,70.93418006,2.8553E+12
Georgia,60.26343357,17599660629
Ghana,42.34893327,65556464048
Gibraltar,,
Guinea,37.94151106,10907214994
"Gambia, The",53.42535707,1632823199
Guinea-Bissau,32.52330326,1458156026
Equatorial Guinea,41.66998551,13432377050
Greece,68.66785187,2.18032E+11
Grenada,66.95102601,1185925926
Greenland,60.33722494,
Guatemala,62.13799076,78460447920
Guam,,5920000000
Guyana,42.01522087,3878662621
High income,69.78870397,5.42057E+13
"Hong Kong SAR, China",88.52828338,3.62682E+11
Honduras,56.82448851,23969890431
Heavily indebted poor countries (HIPC),43.94219203,7.29218E+11
Croatia,58.81683463,60971699315
Haiti,14.42119346,9658721169
Hungary,55.22528377,1.57883E+11
IBRD only,54.28488975,3.04732E+13
IDA & IBRD total,53.87498196,3.2695E+13
IDA total,47.71838313,2.22947E+12
IDA blend,51.72291549,9.93778E+11
Indonesia,43.60735402,1.04217E+12
IDA only,44.18398969,1.2358E+12
Isle of Man,87.59213596,
India,48.45101758,2.71873E+12
Not classified,,
Ireland,56.38065496,3.82487E+11
"Iran, Islamic Rep.",54.35293111,
Iraq,45.8,2.24228E+11
Iceland,,25878475760
Israel,69.67400919,3.70588E+11
Italy,66.47994952,2.08386E+12
Jamaica,59.7778207,15713908816
Jordan,61.7475137,42231295775
Japan,69.11516488,4.97132E+12
Kazakhstan,57.3044151,1.7934E+11
Kenya,41.98165449,87908262520
Kyrgyz Republic,49.93244742,8092836609
Cambodia,39.72190635,24542474061
Kiribati,63.4361823,188284518.8
St. Kitts and Nevis,65.43809789,1010822222
"Korea, Rep.",52.84476379,1.61942E+12
Kuwait,56.78874424,1.40645E+11
Latin America & Caribbean (excluding high income),60.73029835,5.20464E+12
Lao PDR,41.52782613,17953786416
Lebanon,75.85068394,56639155556
Liberia,48.24013721,3264000000
Libya,,48364208571
St. Lucia,72.52352601,1921848222
Latin America & Caribbean,60.51697484,5.80058E+12
Least developed countries: UN classification,44.06096127,1.06464E+12
Low income,38.24730865,5.8823E+11
Liechtenstein,,
Sri Lanka,55.69803998,88900770858
Lower middle income,49.15296784,6.70206E+12
Low & middle income,53.7811071,3.17362E+13
Lesotho,52.52662331,2738786278
Late-demographic dividend,55.04454075,2.21832E+13
Lithuania,60.4472692,53429066429
Luxembourg,79.3319527,70885325883
Latvia,64.64320081,34409229178
"Macao SAR, China",92.67592702,55084050790
St. Martin (French part),,
Morocco,49.96703817,1.17921E+11
Monaco,87.19480063,7184844193
Moldova,53.19929423,11443671436
Madagascar,51.04931524,13853432868
Maldives,69.65824621,5327457150
Middle East & North Africa,53.92184168,3.61054E+12
Mexico,60.28303068,1.2207E+12
Marshall Islands,70.58300177,221278000
Middle income,54.00360194,3.11501E+13
North Macedonia,54.61758028,12672131053
Mali,37.57822813,17163432832
Malta,75.62583725,14553422929
Myanmar,40.37073216,71214803378
Middle East & North Africa (excluding high income),51.72815718,
Montenegro,60.12901332,5504166667
